seed,model_key,stage,target_fraction,target_train_n,best_epoch,test_n,accuracy,macro_f1,real_recall,fake_recall,confusion_matrix,classification_report,elapsed_minutes
42,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.2601293103448276,0.21783259504534144,0.01834336486099169,0.9930495221546481,"[[64, 3425], [8, 1143]]","              precision    recall  f1-score   support

        REAL     0.8889    0.0183    0.0359      3489
        FAKE     0.2502    0.9930    0.3997      1151

    accuracy                         0.2601      4640
   macro avg     0.5696    0.5057    0.2178      4640
weighted avg     0.7305    0.2601    0.1262      4640
",8.222803807258606
42,weighted_roberta,intermediate_ft,0.1,1484,2,4640,0.8116379310344828,0.7202523975448963,0.9197477787331614,0.48392701998262383,"[[3209, 280], [594, 557]]","              precision    recall  f1-score   support

        REAL     0.8438    0.9197    0.8801      3489
        FAKE     0.6655    0.4839    0.5604      1151

    accuracy                         0.8116      4640
   macro avg     0.7546    0.7018    0.7203      4640
weighted avg     0.7996    0.8116    0.8008      4640
",1.5544224937756856
52,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.2665948275862069,0.22912340634858902,0.030667813126970478,0.9817549956559514,"[[107, 3382], [21, 1130]]","              precision    recall  f1-score   support

        REAL     0.8359    0.0307    0.0592      3489
        FAKE     0.2504    0.9818    0.3991      1151

    accuracy                         0.2666      4640
   macro avg     0.5432    0.5062    0.2291      4640
weighted avg     0.6907    0.2666    0.1435      4640
",8.16880287329356
52,weighted_roberta,intermediate_ft,0.1,1484,2,4640,0.8,0.6523284896339321,0.9653195758096876,0.2988705473501303,"[[3368, 121], [807, 344]]","              precision    recall  f1-score   support

        REAL     0.8067    0.9653    0.8789      3489
        FAKE     0.7398    0.2989    0.4257      1151

    accuracy                         0.8000      4640
   macro avg     0.7732    0.6321    0.6523      4640
weighted avg     0.7901    0.8000    0.7665      4640
",1.553270431359609
62,weighted_roberta,source_only_zero_shot,0.0,0,2,4640,0.2655172413793103,0.2249137770297812,0.024362281456004584,0.996524761077324,"[[85, 3404], [4, 1147]]","              precision    recall  f1-score   support

        REAL     0.9551    0.0244    0.0475      3489
        FAKE     0.2520    0.9965    0.4023      1151

    accuracy                         0.2655      4640
   macro avg     0.6035    0.5104    0.2249      4640
weighted avg     0.7807    0.2655    0.1355      4640
",8.200089613596598
62,weighted_roberta,intermediate_ft,0.1,1484,2,4640,0.8120689655172414,0.71945169491925,0.9220406993407854,0.4787141615986099,"[[3217, 272], [600, 551]]","              precision    recall  f1-score   support

        REAL     0.8428    0.9220    0.8806      3489
        FAKE     0.6695    0.4787    0.5583      1151

    accuracy                         0.8121      4640
   macro avg     0.7562    0.7004    0.7195      4640
weighted avg     0.7998    0.8121    0.8007      4640
",1.5536684075991312
72,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.3040948275862069,0.28171649438398755,0.08483806248208656,0.9687228496959166,"[[296, 3193], [36, 1115]]","              precision    recall  f1-score   support

        REAL     0.8916    0.0848    0.1549      3489
        FAKE     0.2588    0.9687    0.4085      1151

    accuracy                         0.3041      4640
   macro avg     0.5752    0.5268    0.2817      4640
weighted avg     0.7346    0.3041    0.2178      4640
",8.199227778116862
72,weighted_roberta,intermediate_ft,0.1,1484,2,4640,0.8021551724137931,0.701771425306748,0.9191745485812554,0.4474370112945265,"[[3207, 282], [636, 515]]","              precision    recall  f1-score   support

        REAL     0.8345    0.9192    0.8748      3489
        FAKE     0.6462    0.4474    0.5287      1151

    accuracy                         0.8022      4640
   macro avg     0.7403    0.6833    0.7018      4640
weighted avg     0.7878    0.8022    0.7890      4640
",1.5768524249394735
82,weighted_roberta,source_only_zero_shot,0.0,0,3,4640,0.265948275862069,0.22836670666466677,0.03009458297506449,0.9808861859252823,"[[105, 3384], [22, 1129]]","              precision    recall  f1-score   support

        REAL     0.8268    0.0301    0.0581      3489
        FAKE     0.2502    0.9809    0.3987      1151

    accuracy                         0.2659      4640
   macro avg     0.5385    0.5055    0.2284      4640
weighted avg     0.6837    0.2659    0.1426      4640
",8.192029968897502
82,weighted_roberta,intermediate_ft,0.1,1484,2,4640,0.8157327586206896,0.7235893613118051,0.9263399254800803,0.48045178105994785,"[[3232, 257], [598, 553]]","              precision    recall  f1-score   support

        REAL     0.8439    0.9263    0.8832      3489
        FAKE     0.6827    0.4805    0.5640      1151

    accuracy                         0.8157      4640
   macro avg     0.7633    0.7034    0.7236      4640
weighted avg     0.8039    0.8157    0.8040      4640
",1.5678465406099955
